 	X	Value
1	0	238
2	1	238
3	2	238
4	3	238
5	4	238
6	5	238
7	6	238
8	7	238
9	8	238
10	9	239
11	10	239
12	11	239
13	12	239
14	13	240
15	14	240
16	15	240
17	16	240
18	17	241
19	18	241
20	19	242
21	20	242
22	21	243
23	22	243
24	23	244
25	24	245
26	25	247
27	26	248
28	27	249
29	28	251
30	29	252
31	30	253
32	31	254
33	32	200
34	33	43
35	34	0
36	35	0
37	36	0
38	37	0
39	38	0
40	39	0
41	40	0
42	41	0
43	42	0
44	43	0
45	44	0
46	45	0
47	46	0
48	47	0
49	48	0
50	49	0
51	50	0
52	51	0
53	52	0
54	53	0
55	54	0
56	55	0
57	56	0
58	57	0
59	58	0
60	59	0
61	60	0
62	61	0
63	62	0
64	63	0
65	64	0
66	65	0
67	66	0
68	67	0
69	68	0
70	69	0
71	70	0
72	71	0
73	72	0
74	73	0
75	74	0
76	75	0
77	76	0
78	77	0
79	78	0
80	79	0
81	80	0
82	81	0
83	82	0
84	83	0
85	84	0
86	85	0
87	86	0
88	87	0
89	88	0
90	89	0
91	90	0
92	91	0
93	92	0
94	93	0
95	94	0
96	95	0
97	96	0
98	97	0
99	98	0
100	99	0
101	100	0
102	101	0
103	102	0
104	103	0
105	104	0
106	105	0
107	106	0
108	107	0
109	108	0
110	109	0
111	110	0
112	111	0
113	112	0
114	113	0
115	114	0
116	115	0
117	116	0
118	117	0
119	118	0
120	119	0
121	120	0
122	121	0
123	122	0
124	123	0
125	124	0
126	125	0
127	126	0
128	127	0
129	128	0
130	129	0
131	130	0
132	131	0
133	132	0
134	133	0
135	134	0
136	135	0
137	136	0
138	137	0
139	138	0
140	139	0
141	140	0
142	141	0
143	142	0
144	143	0
145	144	2
146	145	5
147	146	2
148	147	26
149	148	44
150	149	0
151	150	0
152	151	0
153	152	0
154	153	0
155	154	0
156	155	20
157	156	98
158	157	183
159	158	161
160	159	86
161	160	33
162	161	83
163	162	134
164	163	115
165	164	59
166	165	27
167	166	16
168	167	6
169	168	0
170	169	7
171	170	77
172	171	240
173	172	249
174	173	231
175	174	172
176	175	107
177	176	125
178	177	109
179	178	30
180	179	5
181	180	1
182	181	0
183	182	17
184	183	104
185	184	189
186	185	237
187	186	242
188	187	189
189	188	26
190	189	0
191	190	1
192	191	19
193	192	92
194	193	144
195	194	165
196	195	242
197	196	255
198	197	255
199	198	252
200	199	226
201	200	226
202	201	232
203	202	235
204	203	132
205	204	2
206	205	35
207	206	107
208	207	177
209	208	169
210	209	156
211	210	213
212	211	255
213	212	255
214	213	255
215	214	254
216	215	237
217	216	205
218	217	194
219	218	249
220	219	223
221	220	242
222	221	255
223	222	255
224	223	255
225	224	255
226	225	255
227	226	255
228	227	255
229	228	255
230	229	255
231	230	178
232	231	6
233	232	0
234	233	10
235	234	3
236	235	0
237	236	0
238	237	57
239	238	242
240	239	255
241	240	255
242	241	255
243	242	195
244	243	19
245	244	0
246	245	137
247	246	217
248	247	240
249	248	240
250	249	185
251	250	227
252	251	253
253	252	255
254	253	213
255	254	119
256	255	24
257	256	1
258	257	10
259	258	2
260	259	37
261	260	169
262	261	203
263	262	188
264	263	193
265	264	240
266	265	254
267	266	255
268	267	255
269	268	233
270	269	242
271	270	254
272	271	243
273	272	89
274	273	28
275	274	26
276	275	156
277	276	241
278	277	255
279	278	255
280	279	255
281	280	255
282	281	229
283	282	242
284	283	253
285	284	188
286	285	147
287	286	221
288	287	253
289	288	245
290	289	112
291	290	16
292	291	0
293	292	3
294	293	11
295	294	5
296	295	30
297	296	148
298	297	223
299	298	249
300	299	255
301	300	255
302	301	249
303	302	253
304	303	255
305	304	255
306	305	160
307	306	37
308	307	0
309	308	0
310	309	0
311	310	0
312	311	0
313	312	0
314	313	0
315	314	0
316	315	0
317	316	0
318	317	0
319	318	0
320	319	0
321	320	0
322	321	0
323	322	0
324	323	0
325	324	0
326	325	56
327	326	155
328	327	230
329	328	255
330	329	213
331	330	89
332	331	10
333	332	0
334	333	1
335	334	11
336	335	16
337	336	19
338	337	100
339	338	211
340	339	254
341	340	255
342	341	255
343	342	185
344	343	125
345	344	169
346	345	221
347	346	235
348	347	207
349	348	119
350	349	44
351	350	38
352	351	127
353	352	232
354	353	254
355	354	225
356	355	163
357	356	125
358	357	143
359	358	186
360	359	219
361	360	232
362	361	232
363	362	234
364	363	249
365	364	255
366	365	255
367	366	255
368	367	255
369	368	237
370	369	159
371	370	79
372	371	67
373	372	49
374	373	19
375	374	4
376	375	0
377	376	0
378	377	45
379	378	169
380	379	255
381	380	255
382	381	255
383	382	255
384	383	255
385	384	255
386	385	255
387	386	255
388	387	255
389	388	255
390	389	255
391	390	213
392	391	140
393	392	196
394	393	255
395	394	255
396	395	255
397	396	251
398	397	233
399	398	190
400	399	93
401	400	15
402	401	0
403	402	0
404	403	17
405	404	94
406	405	200
407	406	220
408	407	177
409	408	55
410	409	10
411	410	0
412	411	0
413	412	11
414	413	75
415	414	186
416	415	239
417	416	235
418	417	234
419	418	233
420	419	231
421	420	228
422	421	193
423	422	49
424	423	21
425	424	18
426	425	88
427	426	150
428	427	207
429	428	218
430	429	220
431	430	220
432	431	219
433	432	219
434	433	219
435	434	218
436	435	218
437	436	218
438	437	218
439	438	216
440	0	238
441	1	238
442	2	238
443	3	238
444	4	238
445	5	238
446	6	238
447	7	238
448	8	238
449	9	239
450	10	239
451	11	239
452	12	239
453	13	240
454	14	240
455	15	240
456	16	240
457	17	241
458	18	241
459	19	242
460	20	242
461	21	243
462	22	243
463	23	244
464	24	245
465	25	247
466	26	248
467	27	249
468	28	250
469	29	251
470	30	252
471	31	253
472	32	213
473	33	82
474	34	0
475	35	0
476	36	0
477	37	0
478	38	0
479	39	0
480	40	0
481	41	0
482	42	0
483	43	0
484	44	0
485	45	0
486	46	0
487	47	0
488	48	0
489	49	0
490	50	0
491	51	0
492	52	0
493	53	0
494	54	0
495	55	0
496	56	0
497	57	0
498	58	0
499	59	0
500	60	0
501	61	0
502	62	0
503	63	0
504	64	0
505	65	0
506	66	0
507	67	0
508	68	0
509	69	0
510	70	0
511	71	0
512	72	0
513	73	0
514	74	0
515	75	0
516	76	0
517	77	0
518	78	0
519	79	0
520	80	0
521	81	0
522	82	0
523	83	0
524	84	0
525	85	0
526	86	0
527	87	0
528	88	0
529	89	0
530	90	0
531	91	0
532	92	0
533	93	0
534	94	0
535	95	0
536	96	0
537	97	0
538	98	0
539	99	0
540	100	0
541	101	0
542	102	0
543	103	0
544	104	0
545	105	0
546	106	0
547	107	0
548	108	0
549	109	0
550	110	10
551	111	31
552	112	0
553	113	0
554	114	0
555	115	0
556	116	0
557	117	0
558	118	0
559	119	0
560	120	0
561	121	0
562	122	0
563	123	0
564	124	0
565	125	0
566	126	0
567	127	0
568	128	0
569	129	0
570	130	0
571	131	0
572	132	0
573	133	0
574	134	0
575	135	0
576	136	0
577	137	0
578	138	0
579	139	0
580	140	0
581	141	0
582	142	0
583	143	0
584	144	0
585	145	0
586	146	0
587	147	0
588	148	0
589	149	0
590	150	30
591	151	69
592	152	38
593	153	1
594	154	0
595	155	4
596	156	17
597	157	12
598	158	0
599	159	0
600	160	54
601	161	143
602	162	133
603	163	67
604	164	51
605	165	56
606	166	69
607	167	43
608	168	0
609	169	0
610	170	0
611	171	0
612	172	22
613	173	81
614	174	75
615	175	15
616	176	15
617	177	109
618	178	176
619	179	124
620	180	59
621	181	187
622	182	253
623	183	254
624	184	237
625	185	194
626	186	217
627	187	255
628	188	255
629	189	255
630	190	216
631	191	157
632	192	132
633	193	112
634	194	9
635	195	0
636	196	0
637	197	0
638	198	0
639	199	0
640	200	0
641	201	77
642	202	222
643	203	255
644	204	255
645	205	255
646	206	255
647	207	249
648	208	136
649	209	26
650	210	0
651	211	0
652	212	0
653	213	0
654	214	59
655	215	148
656	216	173
657	217	154
658	218	164
659	219	171
660	220	142
661	221	66
662	222	8
663	223	0
664	224	12
665	225	69
666	226	171
667	227	246
668	228	255
669	229	251
670	230	215
